PB.137289.1		4
PB.30357.1	ENST00000657965.1	0
PB.30357.1	PB.137290.2	2048
PB.30357.1	PB.124736.1	256
PB.30357.1	ENST00000413768.5	256
PB.30357.1	ENST00000437781.5	256
PB.30357.1	PB.164508.1	256
PB.30357.1	PB.96069.2	256
PB.118860.1		4
PB.15672.2	ENST00000437781.5	0
PB.15672.2	PB.164508.1	256
PB.15672.2	PB.137290.2	256
PB.15672.2	ENST00000413768.5	256
PB.137290.1	PB.137290.2	0
PB.137290.1	ENST00000447898.5	256
PB.124736.3	PB.137290.2	0
PB.124736.3	ENST00000447898.5	256
PB.124736.4	PB.137290.2	0
PB.124736.4	ENST00000447898.5	256
PB.130815.3	PB.137290.2	0
PB.130815.3	ENST00000447898.5	256
PB.30357.3	PB.137290.2	0
PB.30357.3	ENST00000447898.5	256
PB.30357.3	ENST00000437781.5	256
PB.30357.3	PB.164508.1	256
PB.30357.3	ENST00000413768.5	256
PB.3796.1	PB.124736.1	0
PB.83094.2	PB.124736.1	0
PB.83094.2	ENST00000437781.5	256
PB.83094.2	PB.164508.1	256
PB.83094.2	PB.96069.2	256
PB.83094.2	PB.137290.2	256
PB.83094.2	ENST00000413768.5	256
PB.83094.3	PB.137290.2	0
PB.83094.3	PB.124736.1	256
PB.83094.3	ENST00000413768.5	256
PB.83094.3	ENST00000437781.5	256
PB.83094.3	PB.164508.1	256
PB.83094.3	PB.96069.2	256
PB.143795.2	PB.137290.2	0
PB.143795.2	ENST00000447898.5	256
PB.143795.3	ENST00000447898.5	0
PB.143795.3	PB.137290.2	256
PB.8631.2	PB.124736.1	0
PB.137290.3	ENST00000447898.5	0
PB.137290.3	PB.137290.2	256
PB.3796.2	PB.124736.1	0
PB.164508.2	PB.137290.2	0
PB.164508.2	ENST00000447898.5	256
PB.143795.4	ENST00000447898.5	0
PB.143795.4	PB.137290.2	256
PB.130815.5	PB.137290.2	0
PB.130815.5	ENST00000447898.5	256
PB.164508.3	ENST00000447898.5	0
PB.164508.3	PB.137290.2	256
PB.130815.6	ENST00000657965.1	0
PB.83095.1	ENST00000592107.5	0
PB.83095.1	PB.83095.3	256
PB.83095.1	PB.83095.4	256
