chr22	15679780	15681779	+
chr22	15695486	15695644	+
chr22	15695819	15697373	+
chr22	15708091	15709781	+
chr22	15709827	15710867	+
chr22	15711035	15719659	+
chr22	15785058	15787171	+
chr22	15785058	15788584	+
chr22	15787237	15788551	+
chr22	15787283	15788551	+
chr22	15787283	15788584	+
chr22	15788700	15788819	+
chr22	15788932	15790413	+
chr22	15788932	15790660	+
chr22	15790799	15791016	+
chr22	15791153	15815475	+
chr22	15815567	15818573	+
chr22	15815567	15826141	+
chr22	16602216	16611657	+
chr22	16602216	16637039	+
chr22	16611894	16613984	+
chr22	16611894	16614076	+
chr22	16614179	16614698	+
chr22	16629716	16637039	+
chr22	16637091	16638578	+
chr22	16638741	16648526	+
chr22	16648880	16649844	+
chr22	16652484	16652932	+
chr22	17037345	17044872	+
chr22	17045001	17047323	+
chr22	17097087	17097796	+
chr22	17097944	17098774	+
chr22	17098888	17100354	+
chr22	17100482	17101995	+
chr22	17102044	17102138	+
chr22	17102303	17103493	+
chr22	17103578	17104725	+
chr22	17104811	17105590	+
chr22	17105603	17105852	+
chr22	17105955	17107726	+
chr22	17107769	17108306	+
chr22	17138358	17138549	-
chr22	17138739	17141058	-
chr22	17141234	17141392	-
chr22	17141234	17143097	-
chr22	17143132	17145023	-
chr22	17145118	17148447	-
chr22	17147350	17147469	-
chr22	17147350	17147531	-
chr22	17147350	17147655	-
chr22	17148561	17149541	-
chr22	17149746	17158456	-
chr22	17149746	17159125	-
chr22	17159475	17165268	+
chr22	17159552	17165268	+
chr22	17181577	17181819	-
chr22	17182023	17182603	-
chr22	17182762	17188338	-
chr22	17188448	17189941	-
chr22	17191811	17199548	-
chr22	17191811	17203562	-
chr22	17209724	17219355	-
chr22	17477683	17497402	+
chr22	17497587	17499409	+
chr22	17499550	17500630	+
chr22	17500736	17503081	+
chr22	17503132	17504846	+
chr22	17505017	17511812	+
chr22	17505017	17524117	+
chr22	17524272	17537102	+
chr22	17537233	17538519	+
chr22	17538558	17538639	+
chr22	17538732	17538992	+
chr22	17539120	17540411	+
chr22	17540801	17541838	+
chr22	17541968	17542156	+
chr22	17549565	17552030	+
