PB.30357.1	ENST00000657965.1	0
PB.30357.1	ENST00000413768.5	2048
PB.30357.1	ENST00000437781.5	256
PB.30357.1	PB.164508.1	256
PB.124736.1	PB.8631.2	0
PB.30357.2	ENST00000661115.1	0
PB.30357.2	PB.130815.4	256
PB.15672.2	ENST00000437781.5	0
PB.15672.2	PB.164508.1	256
PB.15672.2	PB.30357.3	256
PB.15672.2	ENST00000413768.5	256
PB.15672.2	PB.143795.2	256
PB.137290.1	ENST00000447898.5	0
PB.137290.1	PB.143795.2	256
PB.137290.1	PB.164508.3	256
PB.137290.1	ENST00000437781.5	256
PB.137290.1	PB.164508.1	256
PB.124736.3	ENST00000447898.5	0
PB.124736.3	PB.143795.2	256
PB.124736.3	PB.164508.3	256
PB.124736.3	ENST00000661115.1	2048
PB.124736.3	PB.111549.1	2048
PB.124736.3	PB.111549.2	256
PB.124736.3	PB.8631.2	256
PB.124736.4	ENST00000447898.5	0
PB.124736.4	PB.143795.2	256
PB.124736.4	PB.164508.3	256
PB.124736.4	ENST00000437781.5	256
PB.124736.4	PB.164508.1	256
PB.124736.4	ENST00000413768.5	2048
PB.130815.3	PB.143795.2	0
PB.130815.3	ENST00000447898.5	256
PB.130815.3	PB.164508.3	256
PB.3796.1	PB.8631.2	0
PB.83094.2	ENST00000437781.5	0
PB.83094.2	PB.164508.1	256
PB.83094.2	ENST00000413768.5	256
PB.83094.3	ENST00000413768.5	0
PB.83094.3	ENST00000437781.5	256
PB.83094.3	PB.164508.1	256
PB.137290.2	PB.143795.2	0
PB.137290.2	ENST00000447898.5	256
PB.137290.2	PB.164508.3	256
PB.137290.2	ENST00000437781.5	256
PB.137290.2	PB.164508.1	256
PB.143795.3	ENST00000447898.5	0
PB.143795.3	PB.143795.2	256
PB.143795.3	PB.164508.3	256
PB.137290.3	ENST00000447898.5	0
PB.137290.3	PB.143795.2	256
PB.137290.3	PB.164508.3	256
PB.3796.2	PB.8631.2	0
PB.164508.2	PB.143795.2	0
PB.164508.2	ENST00000447898.5	256
PB.164508.2	PB.164508.3	256
PB.143795.4	ENST00000447898.5	0
PB.143795.4	PB.143795.2	256
PB.143795.4	PB.164508.3	256
PB.130815.5	ENST00000447898.5	0
PB.130815.5	PB.143795.2	256
PB.130815.5	PB.164508.3	256
PB.130815.6	ENST00000657965.1	0
PB.111551.1	ENST00000447898.5	0
PB.143797.1	ENST00000319363.11	0
PB.143797.1	ENST00000612619.1	256
PB.143797.1	PB.150482.1	256
PB.130817.2	ENST00000319363.11	0
PB.130817.2	ENST00000612619.1	256
PB.130817.2	PB.150482.1	256
PB.137291.1	ENST00000319363.11	0
PB.137291.1	ENST00000612619.1	256
PB.137291.1	PB.150482.1	256
PB.157382.1	ENST00000612619.1	0
PB.157382.1	PB.150482.1	256
PB.157382.1	ENST00000319363.11	256
PB.157383.1	ENST00000319363.11	0
PB.157383.1	ENST00000612619.1	256
PB.30360.1	PB.22970.1	0
